iter	Passed	Remaining
0	146	146565
1	148	74225
2	150	50020
3	152	37913
4	154	30694
5	156	25903
6	158	22450
7	160	19867
8	162	17868
9	164	16260
10	166	14941
11	167	13831
12	170	12910
13	171	12099
14	173	11409
15	175	10799
16	177	10256
17	179	9767
18	180	9335
19	182	8949
20	184	8594
21	186	8272
22	188	7986
23	189	7715
24	191	7463
25	192	7229
26	194	7016
27	196	6817
28	198	6634
29	199	6460
30	201	6300
31	203	6148
32	205	6008
33	206	5871
34	208	5748
35	210	5631
36	212	5522
37	213	5414
38	215	5310
39	217	5212
40	218	5119
41	220	5033
42	222	4949
43	223	4866
44	225	4790
45	227	4716
46	229	4646
47	230	4579
48	232	4513
49	234	4451
50	235	4390
51	237	4332
52	239	4276
53	241	4221
54	242	4169
55	244	4119
56	246	4072
57	247	4024
58	249	3979
59	251	3934
60	252	3890
61	254	3848
62	256	3808
63	257	3769
64	259	3732
65	261	3697
66	262	3661
67	263	3615
68	265	3581
69	267	3548
70	268	3517
71	270	3487
72	272	3466
73	274	3440
74	276	3413
75	278	3385
76	280	3360
77	282	3334
78	283	3308
79	285	3284
80	287	3260
81	289	3237
82	290	3213
83	292	3190
84	293	3161
85	295	3139
86	296	3112
87	298	3090
88	299	3070
89	301	3050
90	303	3029
91	305	3010
92	306	2991
93	308	2973
94	310	2955
95	311	2937
96	313	2920
97	315	2904
98	317	2887
99	319	2871
100	320	2854
101	321	2830
102	323	2814
103	324	2797
104	326	2782
105	328	2767
106	330	2754
107	331	2740
108	333	2727
109	335	2715
110	337	2701
111	339	2688
112	340	2674
113	342	2660
114	344	2649
115	345	2635
116	347	2624
117	349	2612
118	350	2598
119	352	2586
120	354	2574
121	356	2562
122	357	2545
123	359	2536
124	361	2527
125	362	2516
126	364	2506
127	365	2491
128	367	2480
129	368	2469
130	370	2458
131	372	2448
132	374	2440
133	376	2431
134	378	2426
135	380	2419
136	382	2409
137	383	2397
138	385	2388
139	387	2378
140	389	2371
141	391	2363
142	393	2355
143	394	2347
144	396	2339
145	398	2329
146	399	2320
147	401	2312
148	403	2305
149	405	2296
150	407	2289
151	409	2281
152	410	2273
153	412	2268
154	414	2260
155	417	2256
156	419	2250
157	420	2243
158	422	2234
159	424	2227
160	426	2220
161	427	2213
162	429	2207
163	431	2201
164	433	2194
165	435	2187
166	437	2179
167	438	2172
168	440	2164
169	441	2157
170	443	2150
171	445	2144
172	447	2139
173	449	2132
174	450	2125
175	452	2119
176	454	2112
177	455	2105
178	457	2099
179	459	2093
180	460	2083
181	462	2078
182	464	2072
183	466	2069
184	469	2066
185	471	2064
186	474	2063
187	477	2063
188	481	2065
189	484	2063
190	486	2061
191	489	2061
192	492	2061
193	495	2060
194	498	2058
195	501	2056
196	504	2055
197	506	2052
198	509	2051
199	512	2049
200	515	2047
201	517	2044
202	520	2042
203	523	2041
204	526	2040
205	528	2037
206	531	2035
207	534	2033
208	536	2031
209	539	2029
210	542	2027
211	544	2024
212	547	2023
213	550	2021
214	553	2019
215	555	2017
216	558	2015
217	561	2012
218	563	2010
219	566	2008
220	569	2006
221	571	2003
222	574	2001
223	577	1999
224	579	1997
225	582	1995
226	585	1992
227	587	1990
228	590	1988
229	593	1987
230	596	1986
231	599	1985
232	602	1983
233	606	1985
234	610	1986
235	613	1986
236	616	1984
237	619	1982
238	622	1982
239	625	1980
240	628	1978
241	630	1975
242	633	1973
243	636	1970
244	638	1968
245	641	1967
246	645	1966
247	648	1965
248	650	1963
249	653	1961
250	656	1959
251	659	1957
252	662	1954
253	664	1952
254	667	1950
255	670	1947
256	672	1945
257	675	1942
258	678	1940
259	680	1937
260	683	1935
261	685	1932
262	688	1930
263	691	1927
264	694	1924
265	696	1922
266	699	1920
267	702	1918
268	704	1915
269	707	1913
270	710	1910
271	712	1907
272	715	1905
273	718	1902
274	721	1901
275	724	1900
276	727	1897
277	729	1895
278	732	1892
279	735	1892
280	739	1891
281	742	1890
282	745	1889
283	748	1886
284	751	1884
285	754	1883
286	757	1881
287	760	1879
288	762	1877
289	765	1874
290	769	1873
291	772	1872
292	775	1870
293	778	1868
294	780	1866
295	783	1864
296	786	1862
297	789	1859
298	792	1857
299	794	1854
300	798	1853
301	801	1851
302	803	1849
303	806	1846
304	809	1844
305	812	1842
306	815	1840
307	817	1837
308	820	1834
309	823	1832
310	826	1830
311	829	1828
312	831	1826
313	834	1823
314	836	1820
315	840	1818
316	843	1816
317	845	1813
318	848	1811
319	851	1809
320	854	1806
321	857	1805
322	859	1802
323	862	1799
324	865	1797
325	869	1796
326	872	1794
327	875	1793
328	878	1791
329	881	1789
330	884	1788
331	887	1786
332	890	1784
333	893	1781
334	896	1778
335	899	1776
336	901	1774
337	904	1771
338	907	1769
339	910	1766
340	913	1764
341	916	1762
342	918	1759
343	921	1757
344	924	1755
345	927	1753
346	931	1752
347	933	1749
348	936	1746
349	938	1743
350	941	1741
351	944	1739
352	947	1736
353	950	1733
354	952	1731
355	955	1728
356	958	1725
357	960	1723
358	963	1720
359	966	1718
360	969	1716
361	973	1715
362	976	1713
363	978	1710
364	981	1707
365	985	1706
366	988	1705
367	991	1703
368	994	1700
369	997	1698
370	1000	1696
371	1003	1694
372	1006	1692
373	1009	1689
374	1012	1687
375	1015	1684
376	1017	1681
377	1020	1679
378	1023	1676
379	1025	1673
380	1028	1670
381	1031	1668
382	1033	1665
383	1036	1662
384	1039	1659
385	1041	1656
386	1044	1654
387	1047	1651
388	1049	1648
389	1052	1646
390	1055	1643
391	1057	1640
392	1060	1638
