iter	Passed	Remaining
0	837	836689
1	839	419000
2	841	279793
3	843	210056
4	845	168237
5	847	140339
6	848	120428
7	850	105492
8	852	93867
9	854	84567
10	856	76975
11	858	70677
12	860	65310
13	862	60712
14	863	56719
15	865	53230
16	867	50148
17	869	47415
18	871	44980
19	872	42774
20	874	40781
21	876	38971
22	878	37336
23	880	35818
24	882	34420
25	884	33128
26	886	31936
27	888	30829
28	889	29791
29	891	28824
30	893	27917
31	894	27069
32	896	26275
33	898	25528
34	900	24825
35	902	24164
36	904	23536
37	906	22948
38	908	22379
39	910	21846
40	912	21334
41	914	20847
42	915	20381
43	917	19936
44	919	19511
45	921	19108
46	923	18719
47	924	18345
48	926	17986
49	928	17643
50	930	17313
51	932	16996
52	934	16689
53	935	16393
54	937	16107
55	939	15830
56	940	15563
57	942	15309
58	944	15063
59	946	14825
60	948	14593
61	949	14369
62	951	14150
63	953	13939
64	954	13736
65	956	13539
66	958	13348
67	960	13161
68	962	12980
69	963	12803
70	965	12632
71	967	12466
72	969	12308
73	992	12422
74	995	12275
75	997	12132
76	1000	11991
77	1002	11854
78	1005	11723
79	1018	11718
80	1021	11593
81	1024	11467
82	1025	11329
83	1027	11204
84	1029	11080
85	1031	10959
86	1033	10841
87	1038	10765
88	1041	10663
89	1045	10572
90	1050	10488
91	1052	10384
92	1054	10279
93	1055	10175
94	1057	10073
95	1059	9973
96	1060	9875
97	1062	9781
98	1064	9690
99	1066	9599
100	1068	9508
101	1069	9419
102	1071	9332
103	1073	9246
104	1074	9162
105	1076	9080
106	1078	9002
107	1080	8923
108	1082	8845
109	1083	8768
110	1085	8693
111	1087	8620
112	1088	8547
113	1090	8476
114	1092	8408
115	1094	8341
116	1095	8271
117	1097	8205
118	1099	8139
119	1101	8075
120	1102	8011
121	1104	7947
122	1106	7886
123	1107	7827
124	1109	7768
125	1111	7709
126	1112	7649
127	1114	7593
128	1116	7537
129	1117	7481
130	1119	7426
131	1121	7373
132	1123	7322
133	1124	7270
134	1126	7218
135	1128	7168
136	1130	7118
137	1133	7081
138	1136	7038
139	1138	6993
140	1140	6949
141	1142	6900
142	1144	6856
143	1146	6816
144	1148	6773
145	1152	6738
146	1154	6697
147	1156	6654
148	1157	6613
149	1159	6573
150	1161	6532
151	1163	6491
152	1166	6459
153	1169	6423
154	1171	6385
155	1173	6347
156	1175	6309
157	1177	6272
158	1179	6237
159	1181	6202
160	1182	6163
161	1184	6127
162	1186	6092
163	1188	6059
164	1190	6026
165	1195	6006
166	1197	5974
167	1200	5943
168	1202	5912
169	1204	5880
170	1206	5847
171	1208	5816
172	1210	5785
173	1212	5754
174	1213	5722
175	1216	5693
176	1218	5663
177	1219	5633
178	1221	5604
179	1224	5576
180	1226	5547
181	1227	5518
182	1229	5489
183	1231	5461
184	1233	5434
185	1235	5408
186	1238	5382
187	1239	5355
188	1241	5327
189	1243	5299
190	1244	5272
191	1246	5245
192	1248	5219
193	1250	5193
194	1251	5167
195	1253	5142
196	1255	5118
197	1257	5092
198	1259	5067
199	1260	5042
200	1262	5019
201	1264	4995
202	1266	4971
203	1268	4948
204	1269	4924
205	1271	4901
206	1273	4878
207	1275	4854
208	1276	4832
209	1278	4809
210	1280	4787
211	1282	4766
212	1284	4744
213	1285	4722
214	1287	4700
215	1289	4678
216	1290	4657
217	1292	4636
218	1294	4616
219	1296	4596
220	1298	4577
221	1300	4557
222	1302	4538
223	1304	4518
224	1306	4499
225	1308	4479
226	1310	4461
227	1312	4443
228	1314	4425
229	1316	4406
230	1318	4388
231	1320	4371
232	1322	4353
233	1324	4335
234	1326	4318
235	1328	4300
236	1330	4282
237	1331	4263
238	1333	4245
239	1335	4228
240	1338	4213
241	1341	4201
242	1343	4186
243	1346	4173
244	1350	4160
245	1352	4146
246	1356	4134
247	1359	4120
248	1361	4107
249	1365	4095
250	1367	4081
251	1371	4071
252	1374	4058
253	1377	4046
254	1381	4035
255	1384	4024
256	1387	4012
257	1390	3999
258	1393	3986
259	1396	3973
260	1399	3963
261	1403	3952
262	1406	3940
263	1409	3928
264	1412	3917
265	1415	3905
266	1417	3892
267	1420	3880
268	1423	3868
269	1426	3857
270	1429	3846
271	1433	3835
272	1435	3823
273	1439	3813
274	1442	3804
275	1446	3794
276	1449	3783
277	1452	3772
278	1455	3761
279	1459	3753
280	1463	3743
281	1465	3732
282	1468	3721
283	1471	3709
284	1474	3699
285	1477	3688
286	1480	3677
287	1482	3666
288	1486	3656
289	1489	3645
290	1491	3634
291	1494	3623
292	1497	3613
293	1500	3603
294	1503	3592
295	1505	3581
296	1509	3571
297	1511	3561
298	1515	3552
299	1518	3542
300	1521	3532
301	1524	3522
302	1527	3513
303	1530	3503
304	1533	3494
305	1536	3484
306	1539	3474
307	1542	3464
308	1545	3455
309	1548	3445
310	1550	3435
311	1554	3427
312	1558	3420
313	1561	3412
314	1565	3403
315	1569	3396
316	1572	3388
317	1575	3379
318	1578	3369
319	1581	3361
320	1585	3354
321	1588	3345
322	1591	3335
323	1594	3326
324	1597	3317
325	1600	3308
326	1603	3300
327	1606	3291
328	1609	3282
329	1612	3274
330	1617	3268
331	1621	3261
332	1623	3252
333	1626	3243
334	1629	3234
335	1632	3225
336	1635	3216
337	1637	3207
338	1640	3198
339	1643	3189
340	1646	3181
341	1649	3173
342	1652	3164
343	1654	3156
344	1657	3147
345	1660	3139
346	1663	3130
347	1666	3121
348	1668	3112
349	1671	3104
350	1675	3097
351	1677	3088
352	1680	3080
353	1683	3071
354	1686	3063
355	1689	3056
356	1692	3048
357	1695	3040
358	1698	3032
359	1701	3024
360	1704	3017
361	1707	3009
362	1710	3000
363	1713	2993
364	1715	2985
365	1719	2978
366	1722	2970
367	1725	2963
368	1728	2955
369	1733	2950
370	1736	2944
371	1740	2937
372	1744	2931
373	1749	2928
374	1752	2921
375	1755	2913
376	1767	2920
377	1770	2913
378	1774	2907
379	1778	2902
380	1782	2895
381	1785	2888
382	1788	2881
383	1794	2878
384	1797	2871
385	1800	2864
386	1803	2856
387	1807	2850
388	1809	2842
389	1812	2835
390	1815	2827
391	1819	2821
392	1823	2816
393	1826	2809
394	1829	2802
395	1832	2794
396	1835	2787
397	1838	2780
398	1840	2772
399	1843	2765
400	1846	2758
401	1849	2751
402	1852	2743
403	1855	2736
404	1857	2729
405	1860	2722
406	1863	2715
407	1866	2707
408	1868	2700
409	1871	2693
410	1874	2686
411	1877	2679
412	1880	2672
413	1882	2665
414	1886	2658
415	1888	2651
416	1891	2644
417	1894	2638
418	1898	2632
419	1901	2625
420	1903	2618
421	1906	2611
422	1910	2605
423	1913	2598
424	1915	2592
425	1918	2585
426	1922	2579
427	1925	2573
428	1928	2566
429	1930	2559
430	1933	2552
431	1936	2546
432	1939	2539
433	1942	2533
434	1945	2526
435	1948	2520
436	1951	2514
437	1954	2507
438	1957	2501
439	1960	2494
440	1963	2488
441	1965	2481
442	1968	2475
443	1971	2468
444	1974	2462
445	1977	2455
446	1979	2449
447	1982	2443
448	1986	2437
449	1988	2430
450	1991	2424
451	1994	2417
452	1996	2411
453	1999	2404
454	2002	2398
455	2005	2392
456	2008	2386
457	2011	2380
458	2014	2374
459	2017	2368
460	2020	2362
461	2023	2356
462	2026	2350
463	2029	2344
464	2032	2338
465	2035	2332
466	2037	2325
467	2041	2320
468	2044	2314
469	2046	2308
470	2049	2301
471	2052	2295
472	2055	2289
473	2057	2283
474	2060	2277
475	2063	2271
476	2066	2265
477	2069	2259
478	2072	2253
479	2074	2247
480	2077	2241
481	2080	2235
482	2083	2229
483	2086	2224
484	2089	2218
485	2091	2212
486	2094	2206
487	2097	2200
488	2100	2194
489	2102	2188
